,failures,is_math,higher,health,Mjob,studytime,goout,reason,traveltime,activities,famsup,nursery,Total_alc,GPA
89,0,0,yes,5,teacher,2,3,reputation,1,no,yes,yes,15,2.403800000000029
90,0,0,yes,4,other,3,3,home,1,no,yes,yes,3,2.7192999999999885
91,0,0,yes,1,services,1,5,reputation,1,yes,no,yes,3,3.3987000000000243
92,0,0,yes,2,other,2,3,home,1,no,yes,yes,6,3.0696000000000074
93,0,0,yes,1,teacher,2,3,home,2,yes,yes,yes,1,3.4567000000000245
94,0,0,yes,4,services,4,4,reputation,1,yes,yes,yes,1,2.960799999999995
95,0,0,yes,1,at_home,4,2,home,2,yes,yes,yes,1,3.2804000000000295
96,0,0,yes,4,services,1,3,reputation,2,yes,yes,no,1,2.7192999999999885
97,0,0,yes,5,other,2,5,course,1,no,yes,yes,1,3.0696000000000074
98,0,0,yes,1,other,1,4,reputation,1,yes,no,no,2,3.2752000000000288
99,0,0,yes,3,other,3,5,course,1,no,yes,yes,1,3.2752000000000288
100,0,0,yes,4,services,1,5,other,1,yes,yes,yes,25,2.1876000000000246
101,0,0,yes,4,services,3,3,other,1,yes,yes,yes,1,3.7865999999999556
102,0,0,yes,5,services,1,3,course,1,yes,yes,no,1,3.0696000000000074
103,0,0,yes,2,services,2,5,home,2,no,yes,yes,1,2.7192999999999885
104,0,0,yes,1,services,2,4,course,1,yes,yes,yes,1,3.7865999999999556
105,0,0,yes,4,other,4,3,reputation,1,no,no,yes,1,2.6274999999999995
106,0,0,yes,3,other,4,2,course,1,no,yes,yes,1,2.6274999999999995
107,0,0,yes,5,services,3,3,home,1,yes,yes,yes,1,3.4567000000000245
108,0,0,yes,1,other,4,5,home,4,yes,yes,yes,15,2.8813999999999993
109,0,0,yes,4,health,3,5,other,1,yes,yes,yes,1,3.630499999999973
110,0,0,yes,4,teacher,1,3,course,1,yes,no,yes,1,3.4567000000000245
111,0,0,yes,2,services,3,2,reputation,1,yes,yes,yes,1,2.8813999999999993
112,1,0,yes,5,at_home,2,2,home,1,yes,no,yes,1,2.403800000000029
113,0,0,yes,3,teacher,1,2,course,1,no,no,yes,1,3.9566999999999948
114,0,0,yes,5,health,2,2,reputation,1,yes,no,yes,1,2.5397000000000025
115,0,0,yes,5,teacher,2,4,course,1,yes,yes,yes,2,3.630499999999973
116,0,0,yes,2,other,2,3,reputation,2,yes,yes,yes,1,3.7865999999999556
117,0,0,yes,5,other,1,2,home,2,yes,no,yes,1,3.475700000000025
118,1,0,yes,5,other,2,4,course,3,yes,yes,yes,4,2.938699999999997
119,0,0,yes,4,other,1,3,reputation,1,no,no,yes,2,3.4567000000000245
120,0,0,yes,1,at_home,2,3,course,1,no,no,no,2,3.475700000000025
121,0,0,yes,5,services,4,4,home,1,yes,yes,yes,2,3.3987000000000243
122,0,0,yes,5,other,2,2,course,2,yes,yes,yes,2,3.2804000000000295
123,0,0,yes,5,health,1,4,course,1,yes,yes,yes,4,3.2752000000000288
124,0,0,yes,5,other,2,4,home,1,no,no,yes,1,2.938699999999997
125,0,0,yes,5,services,1,5,home,1,no,no,yes,6,2.2827000000000277
126,0,0,yes,1,other,2,2,home,1,yes,no,yes,1,2.753599999999988
127,2,0,no,5,at_home,2,2,course,1,no,yes,no,1,2.6274999999999995
128,0,0,yes,4,teacher,1,5,course,1,yes,no,yes,10,3.475700000000025
129,0,0,yes,1,other,3,3,course,2,no,yes,no,4,3.2752000000000288
130,0,0,yes,5,services,3,2,course,2,no,yes,yes,4,2.8813999999999993
131,3,0,no,5,services,2,5,reputation,1,yes,yes,yes,3,2.2827000000000277
132,0,0,yes,5,other,1,2,course,3,no,yes,yes,2,2.753599999999988
133,0,0,yes,4,at_home,1,3,course,3,yes,yes,no,2,3.0696000000000074
134,0,0,yes,5,other,1,4,course,1,no,yes,yes,3,3.0696000000000074
135,0,0,yes,5,services,1,1,course,1,no,no,yes,4,3.475700000000025
136,0,0,yes,2,at_home,1,1,course,4,no,no,yes,1,2.5397000000000025
137,1,0,yes,5,other,1,4,home,1,no,no,yes,1,2.960799999999995
138,0,0,yes,5,at_home,2,3,course,4,no,yes,yes,1,2.938699999999997
139,0,0,yes,5,services,3,3,course,1,yes,yes,yes,1,3.475700000000025
140,0,0,yes,5,at_home,2,5,course,3,no,no,yes,8,2.5397000000000025
141,0,0,yes,3,at_home,2,3,course,4,no,yes,yes,1,3.3987000000000243
142,0,0,yes,4,services,1,4,course,2,yes,no,yes,20,2.938699999999997
143,0,0,yes,5,other,3,3,course,1,yes,yes,no,5,2.938699999999997
144,0,0,yes,1,other,1,3,reputation,2,yes,yes,yes,2,2.938699999999997
145,0,0,yes,5,other,1,2,course,2,yes,yes,no,1,2.403800000000029
146,2,0,yes,5,services,2,4,course,1,no,no,yes,3,2.6274999999999995
147,0,0,yes,5,teacher,1,2,course,2,yes,no,yes,1,3.4567000000000245
148,1,0,yes,1,other,1,5,course,3,yes,no,yes,1,2.1876000000000246
149,0,0,yes,3,teacher,4,2,course,2,no,yes,yes,1,2.7192999999999885
150,0,0,yes,1,services,2,2,home,1,no,no,no,6,2.1876000000000246
151,0,0,yes,5,services,3,3,course,1,yes,yes,yes,3,3.4567000000000245
152,0,0,yes,2,services,1,3,reputation,2,yes,yes,yes,4,2.938699999999997
153,0,0,yes,5,teacher,3,2,course,1,yes,yes,yes,1,3.2804000000000295
154,0,0,yes,1,at_home,1,4,course,1,no,no,yes,9,2.753599999999988
155,0,0,yes,5,other,1,5,home,1,no,yes,yes,2,1.7322999999999935
156,0,0,yes,5,other,2,2,course,1,no,yes,yes,2,3.0696000000000074
157,0,0,no,5,at_home,1,2,home,2,yes,yes,yes,1,2.7192999999999885
158,1,0,yes,3,health,2,2,home,1,no,yes,yes,1,2.8813999999999993
159,0,0,yes,5,at_home,2,2,course,1,no,yes,no,1,3.2752000000000288
160,0,0,yes,1,at_home,2,4,course,1,no,no,no,8,2.8813999999999993
161,0,0,no,5,teacher,1,2,course,1,no,yes,yes,2,2.1876000000000246
162,0,0,yes,5,services,1,5,course,4,no,no,yes,10,2.938699999999997
163,2,0,no,4,other,1,5,course,1,no,no,yes,10,2.6274999999999995
164,1,0,yes,5,at_home,1,4,course,1,yes,no,yes,15,2.5397000000000025
165,0,0,yes,3,services,3,1,reputation,2,yes,yes,yes,6,3.2804000000000295
166,0,0,no,4,services,1,4,home,1,no,yes,yes,1,2.7192999999999885
167,0,0,yes,4,other,1,1,course,1,no,yes,yes,1,3.2804000000000295
168,0,0,yes,1,at_home,2,4,course,1,yes,no,yes,1,2.0212000000000065
169,3,0,yes,5,other,1,2,reputation,1,no,no,yes,9,2.2827000000000277
170,3,0,yes,4,at_home,1,5,course,3,yes,yes,no,5,2.753599999999988
171,0,0,yes,3,at_home,1,2,course,3,no,no,no,2,2.8813999999999993
172,1,0,yes,5,other,2,5,course,1,no,yes,yes,16,1.7322999999999935
173,2,0,yes,5,health,1,5,course,2,no,no,no,15,2.2827000000000277
174,1,0,no,5,at_home,1,2,course,2,yes,no,yes,4,2.1876000000000246
175,2,0,yes,3,other,2,4,course,2,no,yes,yes,4,1.7322999999999935
176,0,0,yes,5,other,1,4,course,2,yes,no,yes,8,2.2827000000000277
177,1,0,no,2,at_home,1,3,course,1,no,no,yes,4,2.1876000000000246
178,0,0,no,5,other,2,5,course,4,yes,no,yes,5,2.1876000000000246
179,3,0,no,2,services,1,2,course,2,yes,yes,no,1,2.0212000000000065
180,0,0,no,4,other,2,5,course,1,no,no,yes,8,2.6274999999999995
181,0,0,yes,3,health,2,3,home,1,no,no,yes,1,3.9566999999999948
182,0,0,yes,4,other,2,5,home,1,no,yes,no,1,3.0696000000000074
183,0,0,yes,3,health,2,2,reputation,1,no,yes,yes,1,3.9080999999999833
184,1,0,yes,2,other,1,5,course,3,yes,yes,no,8,2.403800000000029
185,0,0,yes,3,other,2,2,reputation,2,yes,yes,yes,1,3.9566999999999948
186,0,0,yes,5,teacher,2,4,reputation,1,yes,yes,yes,3,2.6274999999999995
187,0,0,yes,3,at_home,2,5,home,1,yes,no,no,1,3.3987000000000243
188,0,0,yes,4,other,2,5,reputation,2,yes,yes,yes,1,3.475700000000025
189,0,0,yes,4,teacher,2,4,course,2,yes,no,yes,16,2.753599999999988
190,0,0,yes,5,services,2,4,reputation,2,yes,no,no,4,3.2804000000000295
191,0,0,yes,4,other,2,4,reputation,1,yes,no,no,4,2.6274999999999995
192,0,0,yes,3,teacher,1,3,other,1,yes,yes,yes,12,2.6274999999999995
193,0,0,yes,2,other,2,3,course,1,yes,yes,yes,1,2.960799999999995
194,0,0,yes,3,teacher,2,3,home,1,yes,yes,yes,6,2.753599999999988
195,0,0,yes,3,services,2,3,home,1,yes,no,yes,2,3.0696000000000074
196,0,0,yes,5,services,2,2,reputation,1,yes,yes,yes,6,3.9566999999999948
197,0,0,yes,1,other,2,3,reputation,1,yes,yes,yes,6,3.4567000000000245
198,0,0,yes,1,other,2,2,reputation,1,no,yes,yes,2,3.7431999999999626
199,0,0,yes,4,services,2,4,other,1,yes,yes,yes,6,3.2752000000000288
200,0,0,yes,3,services,1,3,other,1,yes,yes,yes,2,2.6274999999999995
201,0,0,yes,5,other,2,3,course,1,yes,no,yes,2,3.475700000000025
202,0,0,yes,3,health,2,3,reputation,1,no,yes,no,3,3.2804000000000295
203,0,0,yes,3,at_home,2,3,home,1,no,no,yes,5,2.403800000000029
204,0,0,yes,2,services,2,3,course,1,no,no,yes,1,3.0696000000000074
205,0,0,yes,3,at_home,2,3,course,1,yes,no,yes,1,2.960799999999995
206,0,0,yes,5,at_home,2,4,other,2,yes,no,no,20,2.8813999999999993
207,0,0,yes,5,services,1,2,reputation,1,yes,yes,yes,12,2.7192999999999885
208,0,0,yes,3,other,1,3,home,2,no,no,yes,1,3.0696000000000074
209,0,0,yes,5,services,2,2,course,1,yes,no,yes,1,3.7431999999999626
210,0,0,yes,5,services,1,3,home,1,no,no,yes,2,3.3987000000000243
211,0,0,yes,3,teacher,1,4,home,3,yes,yes,yes,15,2.8813999999999993
212,1,0,yes,2,services,1,4,home,2,no,yes,yes,6,3.7431999999999626
213,0,0,yes,3,teacher,2,2,reputation,1,no,yes,yes,2,2.753599999999988
214,0,0,yes,2,health,2,5,home,1,yes,yes,yes,5,3.475700000000025
215,0,0,yes,4,other,2,3,reputation,1,yes,yes,yes,3,2.960799999999995
216,0,0,yes,1,other,2,4,course,1,no,yes,no,3,3.630499999999973
217,0,0,yes,3,other,1,2,reputation,1,no,yes,yes,2,3.2804000000000295
218,0,0,yes,5,services,4,5,reputation,2,yes,yes,no,1,3.2804000000000295
219,1,0,yes,5,at_home,3,3,home,1,no,yes,yes,12,2.1876000000000246
220,0,0,yes,4,services,2,3,course,1,no,yes,yes,4,2.938699999999997
221,0,0,yes,1,teacher,2,2,other,1,yes,no,yes,1,3.630499999999973
222,0,0,yes,5,at_home,1,2,home,2,no,yes,yes,4,3.2752000000000288
223,0,0,yes,4,teacher,3,2,reputation,2,yes,yes,yes,1,2.960799999999995
224,0,0,yes,3,other,4,3,reputation,1,yes,yes,yes,2,3.0696000000000074
225,0,0,yes,3,services,2,5,home,1,no,yes,yes,20,3.0696000000000074
226,0,0,yes,4,other,2,4,reputation,1,no,yes,yes,1,3.2804000000000295
227,0,0,yes,5,services,2,4,home,1,yes,yes,yes,8,2.938699999999997
228,0,0,yes,3,services,1,1,other,1,no,yes,yes,2,2.938699999999997
229,0,0,yes,1,other,2,4,reputation,2,no,no,yes,3,3.7431999999999626
230,0,0,yes,1,other,2,5,reputation,1,no,no,yes,8,2.6274999999999995
231,0,0,yes,4,services,2,4,home,1,no,yes,yes,8,2.6274999999999995
232,0,0,yes,3,at_home,1,3,home,2,no,yes,yes,4,3.2752000000000288
233,0,0,yes,4,at_home,3,3,course,1,yes,yes,yes,1,3.0696000000000074
234,0,0,yes,5,at_home,2,5,reputation,2,yes,yes,yes,2,2.753599999999988
235,0,0,yes,5,at_home,3,4,reputation,1,yes,yes,yes,1,3.0696000000000074
236,0,0,yes,3,services,2,1,other,1,no,no,yes,1,3.3987000000000243
237,3,0,yes,4,other,2,3,home,2,no,yes,yes,25,2.5397000000000025
238,0,0,yes,5,teacher,3,2,home,1,yes,yes,no,1,3.7865999999999556
239,0,0,yes,4,other,2,3,reputation,1,yes,no,yes,1,2.1876000000000246
240,0,0,yes,3,other,2,4,course,1,yes,no,no,3,3.9566999999999948
241,0,0,yes,3,services,2,3,reputation,1,no,yes,no,3,2.753599999999988
242,0,0,yes,3,at_home,2,2,course,4,yes,yes,yes,20,2.6274999999999995
243,0,0,yes,3,other,3,3,course,2,yes,no,yes,2,3.7865999999999556
244,0,0,yes,3,health,2,3,reputation,1,yes,no,yes,2,3.2752000000000288
245,0,0,yes,1,other,2,2,course,2,yes,yes,yes,1,3.2752000000000288
246,0,0,yes,2,teacher,2,5,reputation,1,yes,yes,yes,3,3.2804000000000295
247,0,0,yes,1,health,2,4,reputation,1,yes,yes,yes,8,3.3987000000000243
248,0,0,yes,5,other,2,2,home,2,no,yes,yes,1,2.2827000000000277
249,0,0,yes,2,at_home,3,3,reputation,2,yes,no,yes,3,3.0696000000000074
250,0,0,yes,4,other,2,2,home,1,yes,no,no,25,3.7865999999999556
251,0,0,yes,5,other,1,2,home,1,no,no,yes,1,2.5397000000000025
252,0,0,yes,5,other,2,3,home,1,yes,no,yes,2,3.3987000000000243
253,1,0,yes,3,services,2,3,course,2,no,yes,yes,1,2.6274999999999995
254,1,0,yes,5,at_home,2,1,course,1,no,yes,no,1,2.2827000000000277
255,1,0,no,3,other,1,1,course,2,no,no,yes,1,1.7322999999999935
256,1,0,no,1,other,1,3,course,1,yes,yes,no,4,2.0212000000000065
257,0,0,yes,5,teacher,1,1,course,1,yes,yes,no,2,2.2827000000000277
258,0,0,yes,3,other,2,2,course,1,yes,no,yes,1,3.475700000000025
259,0,0,yes,4,at_home,3,2,course,1,yes,yes,yes,2,2.7192999999999885
260,0,0,no,5,other,1,5,course,1,no,no,yes,2,2.938699999999997
261,0,0,yes,3,at_home,2,1,course,3,yes,no,yes,1,3.2804000000000295
262,1,0,yes,5,other,1,4,course,4,no,yes,yes,1,2.1876000000000246
263,0,0,no,2,other,2,4,reputation,1,no,no,yes,15,2.0212000000000065
264,1,0,no,1,other,1,2,home,1,no,yes,no,1,2.6274999999999995
265,0,0,yes,5,at_home,3,3,course,2,yes,no,yes,3,3.630499999999973
266,0,0,yes,4,teacher,2,2,course,1,yes,yes,yes,1,3.475700000000025
267,0,0,yes,5,health,2,5,course,2,yes,no,yes,4,3.7431999999999626
268,0,0,yes,4,teacher,2,3,course,2,no,yes,yes,6,3.0696000000000074
269,0,0,yes,3,teacher,1,5,course,1,yes,no,no,1,3.475700000000025
270,0,0,yes,5,services,1,2,course,1,yes,no,yes,2,3.630499999999973
271,0,0,yes,5,teacher,2,1,course,1,no,yes,yes,4,2.938699999999997
272,0,0,yes,1,other,3,3,home,2,no,no,no,1,3.475700000000025
273,0,0,yes,5,services,3,2,home,2,no,yes,yes,6,2.8813999999999993
274,0,0,yes,4,at_home,2,2,course,1,no,no,no,1,2.5397000000000025
275,0,0,yes,3,other,3,4,course,2,no,yes,no,1,2.8813999999999993
276,0,0,yes,4,other,1,3,course,3,no,no,yes,1,3.7865999999999556
277,0,0,yes,5,other,2,4,course,1,no,yes,yes,2,2.753599999999988
278,0,0,yes,2,other,1,2,course,2,no,no,yes,1,2.938699999999997
279,3,0,no,1,services,1,5,other,1,no,no,no,25,1.7322999999999935
280,0,0,yes,5,other,2,3,course,1,no,yes,yes,3,2.5397000000000025
281,0,0,yes,5,other,1,2,other,1,no,no,no,8,2.938699999999997
282,0,0,no,5,services,1,5,course,2,no,no,yes,8,1.7322999999999935
283,1,0,yes,2,at_home,2,3,reputation,3,no,yes,no,3,2.6274999999999995
284,2,0,no,5,services,1,5,other,1,no,no,no,10,1.7322999999999935
285,0,0,yes,3,other,1,2,course,2,yes,no,no,3,3.2804000000000295
286,0,0,yes,5,other,1,2,course,1,no,no,no,8,3.0696000000000074
287,1,0,yes,5,health,1,4,course,2,yes,yes,yes,2,2.5397000000000025
288,0,0,yes,5,other,2,4,course,1,no,yes,no,3,3.0696000000000074
289,0,0,yes,4,teacher,4,3,reputation,1,yes,yes,yes,1,3.7865999999999556
290,0,0,yes,5,services,2,3,home,1,no,yes,yes,1,2.7192999999999885
291,1,0,no,5,services,2,5,course,3,yes,no,no,16,2.753599999999988
292,0,0,yes,5,other,3,4,course,1,yes,yes,yes,3,3.0696000000000074
293,0,0,yes,3,other,3,3,home,1,no,yes,no,6,3.0696000000000074
294,0,0,yes,5,other,2,3,home,1,no,no,yes,1,2.960799999999995
295,0,0,yes,1,services,2,1,reputation,1,no,yes,yes,1,3.2752000000000288
296,0,0,yes,4,other,2,4,home,1,yes,no,yes,2,3.7865999999999556
297,0,0,no,4,other,1,2,other,2,no,no,no,1,2.5397000000000025
298,0,0,yes,2,services,4,1,course,1,yes,no,yes,1,2.8813999999999993
299,0,0,no,2,other,2,3,course,2,yes,yes,yes,2,2.938699999999997
300,0,0,yes,2,services,2,2,home,1,no,yes,yes,3,3.7431999999999626
301,0,0,yes,3,teacher,2,2,course,1,no,yes,no,1,2.7192999999999885
302,0,0,yes,3,other,3,2,course,1,yes,no,no,1,2.8813999999999993
303,0,0,yes,4,other,3,3,home,1,yes,no,no,1,3.3987000000000243
304,0,0,yes,3,at_home,3,3,home,1,yes,yes,yes,1,3.0696000000000074
305,0,0,no,4,other,1,4,home,2,no,no,yes,6,2.1876000000000246
306,0,0,yes,1,other,2,5,reputation,2,yes,yes,yes,12,3.7865999999999556
307,0,0,yes,5,services,2,4,other,1,yes,no,yes,12,3.0696000000000074
308,0,0,yes,4,teacher,2,4,reputation,2,yes,no,yes,4,2.8813999999999993
309,0,0,yes,5,health,2,5,reputation,1,yes,yes,yes,3,3.0696000000000074
310,0,0,no,3,other,2,5,reputation,2,no,yes,yes,2,2.2827000000000277
311,0,0,yes,5,other,2,5,home,1,yes,yes,yes,9,2.960799999999995
312,0,0,yes,2,other,4,5,reputation,1,yes,yes,yes,3,3.7865999999999556
313,0,0,yes,3,other,2,3,home,2,no,yes,no,1,3.2804000000000295
314,0,0,yes,1,at_home,2,2,home,1,yes,yes,no,4,3.9566999999999948
315,0,0,yes,1,other,2,5,home,1,no,yes,yes,2,3.475700000000025
316,0,0,yes,1,at_home,2,3,reputation,2,no,yes,yes,1,3.7865999999999556
317,0,0,yes,5,services,2,4,course,2,no,yes,yes,6,3.0696000000000074
318,0,0,no,5,other,2,1,home,2,no,no,no,1,2.7192999999999885
319,0,0,yes,3,teacher,1,4,home,2,yes,no,yes,4,2.960799999999995
320,1,0,yes,4,health,2,4,reputation,1,yes,yes,yes,1,3.2804000000000295
321,0,0,yes,1,other,3,3,reputation,3,no,yes,yes,1,3.475700000000025
322,1,0,no,3,services,2,3,reputation,1,no,yes,yes,12,2.2827000000000277
323,0,0,yes,1,teacher,1,3,course,2,yes,no,yes,2,2.6274999999999995
324,0,0,no,4,at_home,1,4,home,2,no,no,no,8,2.7192999999999885
325,0,0,yes,5,services,1,4,home,2,yes,no,yes,8,2.753599999999988
326,0,0,yes,3,teacher,1,4,home,1,no,no,yes,12,3.2804000000000295
327,0,0,yes,3,at_home,4,2,reputation,2,yes,yes,yes,1,3.9566999999999948
328,0,0,yes,4,other,2,4,home,2,yes,no,yes,1,3.2752000000000288
329,0,0,yes,5,other,2,5,course,1,no,yes,no,2,3.2752000000000288
330,0,0,yes,5,other,2,1,reputation,2,yes,no,yes,1,3.2804000000000295
331,0,0,yes,4,other,2,3,reputation,1,no,no,no,2,3.0696000000000074
332,0,0,yes,2,at_home,3,3,other,1,no,yes,yes,2,3.9566999999999948
333,0,0,yes,3,services,3,3,reputation,1,no,yes,yes,1,3.3987000000000243
334,0,0,yes,2,services,3,4,reputation,1,yes,no,yes,3,3.630499999999973
335,0,0,yes,2,teacher,2,3,reputation,1,yes,yes,yes,1,3.9566999999999948
336,0,0,yes,5,teacher,2,2,home,1,yes,yes,yes,4,3.7865999999999556
337,0,0,yes,3,health,3,2,reputation,1,no,yes,yes,2,3.9566999999999948
338,0,0,yes,3,services,4,2,reputation,2,no,yes,yes,1,3.9566999999999948
339,0,0,yes,4,services,3,2,reputation,2,yes,yes,yes,1,3.630499999999973
340,0,0,yes,5,health,1,3,home,1,no,yes,yes,3,3.630499999999973
